season,year,bestgrade2,bestgrade3,bestgrade4,bestgrade5
Spring,2014,A,10,1,1
Spring,2013,A,10,1,1
Autumn,2014,A,1,4,1
Spring,2010,A,6,4,1
Spring,2014,A,3,5,10
Spring,2013,A,6,4,1
Spring,2013,A,9,3,9
Spring,2013,B,6,1,6
Spring,2014,A,7,2,8
Spring,2013,A,7,1,8
Spring,2014,A,10,1,8
Spring,2013,A,6,4,10
Spring,2013,A,10,7,1
High school,2009,A,6,4,1
Spring,2014,A,8,3,8
Autumn,2013,A,6,1,10
Spring,2013,A,1,1,1
Spring,2014,A,5,3,8
Spring,2014,A,7,5,8
Spring,2013,A,6,4,1
Spring,2012,E,8,5,10
Winter,2014,A,1,1,1
Spring,2014,A,5,4,8
Spring,2009,A,10,1,1
Spring,2014,A,4,5,8
Spring,2013,A,6,1,1
Spring,2013,A,4,5,9
Spring,2013,A,9,1,10
Spring,2013,A,8,1,9
Spring,2014,A,2,1,8
High school,2013,B,6,4,6
Spring,2014,A,6,4,1
Spring,2014,A,1,1,1
Autumn,2013,A,1,4,1
Spring,2014,A,6,3,8
High school,2009,B,8,5,9
Spring,2013,A,3,4,10
Spring,2014,A,9,4,9
Spring,2013,A,6,1,1
